asset	asset_address	type	mode	destination	source	entry_address
asset_logo_and_icons	$888000	VRAM	normal	$2000	VRAM_968000	$888002
asset_logo_and_icons	$888000	VRAM	normal	$1000	VRAM_968AB9	$888007
asset_logo_and_icons	$888000	VRAM	normal	$0000	VRAM_968CAC	$88800C
asset_logo_and_icons	$888000	VRAM	normal	$0100	VRAM_968CD7	$888011
asset_logo_and_icons	$888000	VRAM	normal	$5800	VRAM_A1878F	$888016
asset_system_font	$88801C	VRAM	normal	$4000	VRAM_968CFB	$88801E
asset_888024	$888024	VRAM	normal	$0000	VRAM_968EF3	$888026
asset_888024	$888024	VRAM	normal	$1000	VRAM_96B9C2	$88802B
asset_888024	$888024	VRAM	normal	$5000	VRAM_969D44	$888030
asset_888024	$888024	VRAM	normal	$2B00	VRAM_ABE372	$888035
asset_888024	$888024	VRAM	normal	$2000	VRAM_969177	$88803A
asset_888024	$888024	VRAM	normal	$4800	VRAM_969E44	$88803F
asset_888024	$888024	VRAM	normal	$6000	VRAM_96A2FF	$888044
asset_logo_sprites	$88804A	SPRITE	last	$3000	SPRITE_96A203	$88804B
asset_888051	$888051	SPRITE		$3000	SPRITE_BEF872	$888052
asset_888051	$888051	SPRITE		$33A2	SPRITE_BEDCDD	$888057
asset_888051	$888051	SPRITE	last	$371C	SPRITE_AEF8F3	$88805C
asset_888051	$888051	VRAM	normal	$2000	VRAM_A59B61	$888063
asset_888051	$888051	VRAM	normal	$2900	VRAM_BFB6FB	$888068
asset_888051	$888051	VRAM	normal	$0000	VRAM_BFCA23	$88806D
asset_888051	$888051	VRAM	normal	$1000	VRAM_BFCB85	$888072
asset_888051	$888051	VRAM	normal	$4000	VRAM_BFBADC	$888077
asset_888051	$888051	VRAM	normal	$5000	VRAM_BFCE4D	$88807C
asset_888051	$888051	VRAM	normal	$5400	VRAM_BFCFAA	$888081
asset_888051	$888051	VRAM	normal	$5800	VRAM_BFD894	$888086
asset_888051	$888051	VRAM	normal	$5C00	VRAM_BFDD6C	$88808B
asset_888051	$888051	VRAM	normal	$6000	VRAM_97923E	$888090
asset_888051	$888051	VRAM	normal	$7000	VRAM_BFDEB5	$888095
asset_888051	$888051	VRAM	normal	$3000	VRAM_BFBDBF	$88809A
asset_888051	$888051	VRAM	normal	$1400	VRAM_BFCCE3	$88809F
asset_888051	$888051	VRAM	normal	$1800	VRAM_BFCD8F	$8880A4
asset_888051	$888051	VRAM	normal	$1C00	VRAM_BFDAE3	$8880A9
asset_888051	$888051	VRAM	normal	$0400	VRAM_BFD064	$8880AE
asset_888051	$888051	VRAM	normal	$0800	VRAM_BFD3A8	$8880B3
asset_888051	$888051	VRAM	normal	$0C00	VRAM_BFD63F	$8880B8
asset_8880BE	$8880BE	VRAM	deferred	$6A00	VRAM_988000	$8880C0
asset_8880C6	$8880C6	SPRITE	last	$3000	SPRITE_94E769	$8880C7
asset_8880C6	$8880C6	VRAM	normal	$2000	VRAM_87E500	$8880CE
asset_8880C6	$8880C6	VRAM	normal	$3000	VRAM_9BF132	$8880D3
asset_8880C6	$8880C6	VRAM	normal	$5800	VRAM_A1878F	$8880D8
asset_8880C6	$8880C6	VRAM	normal	$6000	VRAM_93F0B9	$8880DD
asset_8880E3	$8880E3	WRAM	normal	$7F0000	FILE_87F89D	$8880E5
asset_8880E3	$8880E3	WRAM	normal	$7F0800	FILE_87FA5B	$8880EB
